character,count,codepoints,unicode_names
ဩ,4404,U+1029,MYANMAR LETTER O
ဠ,4258,U+1020,MYANMAR LETTER LLA
ဨ,3780,U+1028,MYANMAR LETTER MON E
ၝ,3214,U+105D,MYANMAR LETTER MON BBE
ၛ,1578,U+105B,MYANMAR LETTER MON JHA
ဦ,1263,U+1026,MYANMAR LETTER UU
၏,611,U+104F,MYANMAR SYMBOL GENITIVE
ၐ,415,U+1050,MYANMAR LETTER SHA
ဎ,262,U+100E,MYANMAR LETTER DDHA
၍,198,U+104D,MYANMAR SYMBOL COMPLETED
၌,138,U+104C,MYANMAR SYMBOL LOCATIVE
ဧ,122,U+1027,MYANMAR LETTER E
ႝ,108,U+109D,MYANMAR VOWEL SIGN AITON AI
ၑ,90,U+1051,MYANMAR LETTER SSA
ဤ,55,U+1024,MYANMAR LETTER II
၎,45,U+104E,MYANMAR SYMBOL AFOREMENTIONED
ဈ,40,U+1008,MYANMAR LETTER JHA
ႅ,19,U+1085,MYANMAR VOWEL SIGN SHAN E ABOVE
ႇ,10,U+1087,MYANMAR SIGN SHAN TONE-2
ၤ,5,U+1064,MYANMAR TONE MARK SGAW KAREN KE PHO
ႃ,4,U+1083,MYANMAR VOWEL SIGN SHAN AA
ႜ,3,U+109C,MYANMAR VOWEL SIGN AITON A
ၢ,2,U+1062,MYANMAR VOWEL SIGN SGAW KAREN EU
ဢ,2,U+1022,MYANMAR LETTER SHAN A
ဪ,2,U+102A,MYANMAR LETTER AU
ႆ,2,U+1086,MYANMAR VOWEL SIGN SHAN FINAL Y
ႈ,2,U+1088,MYANMAR SIGN SHAN TONE-3
႓,2,U+1093,MYANMAR SHAN DIGIT THREE
ၣ,1,U+1063,MYANMAR TONE MARK SGAW KAREN HATHI
႔,1,U+1094,MYANMAR SHAN DIGIT FOUR
ၨ,1,U+1068,MYANMAR VOWEL SIGN WESTERN PWO KAREN UE
ၪ,1,U+106A,MYANMAR SIGN WESTERN PWO KAREN TONE-2
ၓ,1,U+1053,MYANMAR LETTER VOCALIC RR
ၶ,1,U+1076,MYANMAR LETTER SHAN KHA
ၽ,1,U+107D,MYANMAR LETTER SHAN PHA
႐,1,U+1090,MYANMAR SHAN DIGIT ZERO
ႏ,1,U+108F,MYANMAR SIGN RUMAI PALAUNG TONE-5
ၵ,1,U+1075,MYANMAR LETTER SHAN KA
႕,1,U+1095,MYANMAR SHAN DIGIT FIVE
ၾ,1,U+107E,MYANMAR LETTER SHAN FA
ႄ,1,U+1084,MYANMAR VOWEL SIGN SHAN E
