character,count,codepoints,unicode_names
ၲ,25,U+1072,MYANMAR VOWEL SIGN KAYAH OE
ၢ,24,U+1062,MYANMAR VOWEL SIGN SGAW KAREN EU
ၼ,19,U+107C,MYANMAR LETTER SHAN NA
႐,17,U+1090,MYANMAR SHAN DIGIT ZERO
ၥ,17,U+1065,MYANMAR LETTER WESTERN PWO KAREN THA
႙,17,U+1099,MYANMAR SHAN DIGIT NINE
ၸ,14,U+1078,MYANMAR LETTER SHAN CA
ႇ,12,U+1087,MYANMAR SIGN SHAN TONE-2
ၾ,12,U+107E,MYANMAR LETTER SHAN FA
ၿ,10,U+107F,MYANMAR LETTER SHAN BA
ၵ,6,U+1075,MYANMAR LETTER SHAN KA
ၤ,5,U+1064,MYANMAR TONE MARK SGAW KAREN KE PHO
ဢ,5,U+1022,MYANMAR LETTER SHAN A
ၱ,5,U+1071,MYANMAR VOWEL SIGN GEBA KAREN I
ႃ,4,U+1083,MYANMAR VOWEL SIGN SHAN AA
ၡ,4,U+1061,MYANMAR LETTER SGAW KAREN SHA
ၨ,2,U+1068,MYANMAR VOWEL SIGN WESTERN PWO KAREN UE
ဪ,2,U+102A,MYANMAR LETTER AU
ႈ,2,U+1088,MYANMAR SIGN SHAN TONE-3
႓,2,U+1093,MYANMAR SHAN DIGIT THREE
႟,2,U+109F,MYANMAR SYMBOL SHAN EXCLAMATION
ၷ,2,U+1077,MYANMAR LETTER SHAN GA
ႀ,2,U+1080,MYANMAR LETTER SHAN THA
ၹ,2,U+1079,MYANMAR LETTER SHAN ZA
ၺ,2,U+107A,MYANMAR LETTER SHAN NYA
ၻ,2,U+107B,MYANMAR LETTER SHAN DA
ၴ,2,U+1074,MYANMAR VOWEL SIGN KAYAH EE
ၣ,1,U+1063,MYANMAR TONE MARK SGAW KAREN HATHI
ၪ,1,U+106A,MYANMAR SIGN WESTERN PWO KAREN TONE-2
ၓ,1,U+1053,MYANMAR LETTER VOCALIC RR
ၶ,1,U+1076,MYANMAR LETTER SHAN KHA
ၽ,1,U+107D,MYANMAR LETTER SHAN PHA
ႄ,1,U+1084,MYANMAR VOWEL SIGN SHAN E
႒,1,U+1092,MYANMAR SHAN DIGIT TWO
ၳ,1,U+1073,MYANMAR VOWEL SIGN KAYAH U
ၰ,1,U+1070,MYANMAR LETTER EASTERN PWO KAREN GHWA
