character,count,codepoints,unicode_names
ဿ,1046,U+103F,MYANMAR LETTER GREAT SA
ဨ,1033,U+1028,MYANMAR LETTER MON E
့,928,U+1037,MYANMAR SIGN DOT BELOW
ဩ,613,U+1029,MYANMAR LETTER O
ဉ,524,U+1009,MYANMAR LETTER NYA
႕,460,U+1095,MYANMAR SHAN DIGIT FIVE
ဦ,254,U+1026,MYANMAR LETTER UU
ဧ,194,U+1027,MYANMAR LETTER E
ႊ,165,U+108A,MYANMAR SIGN SHAN TONE-6
႘,144,U+1098,MYANMAR SHAN DIGIT EIGHT
ႝ,118,U+109D,MYANMAR VOWEL SIGN AITON AI
႔,113,U+1094,MYANMAR SHAN DIGIT FOUR
ၛ,99,U+105B,MYANMAR LETTER MON JHA
ႏ,98,U+108F,MYANMAR SIGN RUMAI PALAUNG TONE-5
ႜ,54,U+109C,MYANMAR VOWEL SIGN AITON A
ၐ,41,U+1050,MYANMAR LETTER SHA
ႅ,32,U+1085,MYANMAR VOWEL SIGN SHAN E ABOVE
ႉ,29,U+1089,MYANMAR SIGN SHAN TONE-5
၏,26,U+104F,MYANMAR SYMBOL GENITIVE
ၲ,25,U+1072,MYANMAR VOWEL SIGN KAYAH OE
ႆ,23,U+1086,MYANMAR VOWEL SIGN SHAN FINAL Y
ၢ,22,U+1062,MYANMAR VOWEL SIGN SGAW KAREN EU
ၼ,19,U+107C,MYANMAR LETTER SHAN NA
ၥ,17,U+1065,MYANMAR LETTER WESTERN PWO KAREN THA
႙,17,U+1099,MYANMAR SHAN DIGIT NINE
႐,16,U+1090,MYANMAR SHAN DIGIT ZERO
ၸ,14,U+1078,MYANMAR LETTER SHAN CA
ၾ,11,U+107E,MYANMAR LETTER SHAN FA
ဈ,10,U+1008,MYANMAR LETTER JHA
ၿ,10,U+107F,MYANMAR LETTER SHAN BA
၍,8,U+104D,MYANMAR SYMBOL COMPLETED
၌,7,U+104C,MYANMAR SYMBOL LOCATIVE
ဎ,6,U+100E,MYANMAR LETTER DDHA
ၵ,5,U+1075,MYANMAR LETTER SHAN KA
ၱ,5,U+1071,MYANMAR VOWEL SIGN GEBA KAREN I
ၡ,4,U+1061,MYANMAR LETTER SGAW KAREN SHA
ဢ,3,U+1022,MYANMAR LETTER SHAN A
ဤ,2,U+1024,MYANMAR LETTER II
ႇ,2,U+1087,MYANMAR SIGN SHAN TONE-2
႟,2,U+109F,MYANMAR SYMBOL SHAN EXCLAMATION
ၷ,2,U+1077,MYANMAR LETTER SHAN GA
ႀ,2,U+1080,MYANMAR LETTER SHAN THA
ၹ,2,U+1079,MYANMAR LETTER SHAN ZA
ၺ,2,U+107A,MYANMAR LETTER SHAN NYA
ၻ,2,U+107B,MYANMAR LETTER SHAN DA
ၴ,2,U+1074,MYANMAR VOWEL SIGN KAYAH EE
ၨ,1,U+1068,MYANMAR VOWEL SIGN WESTERN PWO KAREN UE
႒,1,U+1092,MYANMAR SHAN DIGIT TWO
ၳ,1,U+1073,MYANMAR VOWEL SIGN KAYAH U
ၰ,1,U+1070,MYANMAR LETTER EASTERN PWO KAREN GHWA
